N,TYPE,PARENT,NAME,FILETYPE,PATH,SIZE
42,File,hooks,pre-receive.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/pre-receive.sample,544
43,File,hooks,update.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/update.sample,3650
44,File,hooks,pre-applypatch.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/pre-applypatch.sample,424
45,File,hooks,pre-rebase.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/pre-rebase.sample,4898
46,File,hooks,applypatch-msg.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/applypatch-msg.sample,478
47,File,hooks,fsmonitor-watchman.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/fsmonitor-watchman.sample,4655
48,File,hooks,pre-merge-commit.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/pre-merge-commit.sample,416
49,File,hooks,commit-msg.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/commit-msg.sample,896
50,File,hooks,post-update.sample,sample,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/hooks/post-update.sample,189
51,File,info,exclude,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/.git/info/exclude,240
52,Dir,samples,m2,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/m2,0
53,Dir,samples,proc,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/proc,0
54,Dir,samples,jcl,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/jcl,0
55,Dir,m2,unikix,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/m2/unikix,0
56,Dir,m2,mf,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/m2/mf,0
57,File,unikix,UniKix_CardDemo_runtime_v1.zip,zip,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/m2/unikix/UniKix_CardDemo_runtime_v1.zip,434174
58,File,mf,CardDemo_runtime.zip,zip,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/m2/mf/CardDemo_runtime.zip,468566
59,File,proc,BUILDBAT.prc,prc,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/proc/BUILDBAT.prc,3977
60,File,proc,BUILDONL.prc,prc,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/proc/BUILDONL.prc,5149
61,File,proc,BUILDBMS.prc,prc,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/proc/BUILDBMS.prc,8359
62,File,jcl,CICCMP.jcl,jcl,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/jcl/CICCMP.jcl,3860
63,File,jcl,BMSCMP.jcl,jcl,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/jcl/BMSCMP.jcl,2683
64,File,jcl,BATCMP.jcl,jcl,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/samples/jcl/BATCMP.jcl,3224
65,Dir,app,ctl,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/ctl,0
66,Dir,app,csd,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/csd,0
67,Dir,app,cpy,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy,0
68,Dir,app,catlg,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/catlg,0
69,Dir,app,proc,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/proc,0
70,Dir,app,data,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data,0
71,Dir,app,cpy-bms,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms,0
72,Dir,app,bms,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms,0
73,Dir,app,cbl,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cbl,0
74,Dir,app,jcl,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/jcl,0
75,File,ctl,REPROCT.ctl,ctl,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/ctl/REPROCT.ctl,1061
76,File,csd,CARDDEMO.CSD,csd,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/csd/CARDDEMO.CSD,29940
77,File,csd,.gitkeep,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/csd/.gitkeep,0
78,File,cpy,CVTRA03Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVTRA03Y.cpy,655
79,File,cpy,CSMSG02Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CSMSG02Y.cpy,1921
80,File,cpy,CSSTRPFY.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CSSTRPFY.cpy,6603
81,File,cpy,CVACT03Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVACT03Y.cpy,736
82,File,cpy,CSDAT01Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CSDAT01Y.cpy,3234
83,File,cpy,COSTM01.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/COSTM01.CPY,2037
84,File,cpy,COADM02Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/COADM02Y.cpy,2795
85,File,cpy,CVACT01Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVACT01Y.cpy,1125
86,File,cpy,CSUTLDWY.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CSUTLDWY.cpy,5263
87,File,cpy,CVTRA06Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVTRA06Y.cpy,1538
88,File,cpy,CVTRA01Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVTRA01Y.cpy,898
89,File,cpy,CUSTREC.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CUSTREC.cpy,1518
90,File,cpy,COTTL01Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/COTTL01Y.cpy,1642
91,File,cpy,CVTRA04Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVTRA04Y.cpy,817
92,File,cpy,CVCUS01Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVCUS01Y.cpy,1588
93,File,cpy,CVACT02Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVACT02Y.cpy,730
94,File,cpy,CSMSG01Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CSMSG01Y.cpy,1533
95,File,cpy,UNUSED1Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/UNUSED1Y.cpy,406
96,File,cpy,CVTRA02Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVTRA02Y.cpy,898
97,File,cpy,CSSETATY.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CSSETATY.cpy,1885
98,File,cpy,CSUSR01Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CSUSR01Y.cpy,1582
99,File,cpy,COCOM01Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/COCOM01Y.cpy,2714
100,File,cpy,CVCRD01Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVCRD01Y.cpy,3436
101,File,cpy,CVTRA07Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVTRA07Y.cpy,5758
102,File,cpy,COMEN02Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/COMEN02Y.cpy,5012
103,File,cpy,CSUTLDPY.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CSUTLDPY.cpy,13061
104,File,cpy,CSLKPCDY.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CSLKPCDY.cpy,51399
105,File,cpy,CVTRA05Y.cpy,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy/CVTRA05Y.cpy,1546
106,File,catlg,LISTCAT.txt,txt,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/catlg/LISTCAT.txt,195621
107,File,proc,REPROC.prc,prc,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/proc/REPROC.prc,2233
108,File,proc,TRANREPT.prc,prc,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/proc/TRANREPT.prc,6283
109,Dir,data,EBCDIC,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC,0
110,Dir,data,ASCII,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/ASCII,0
111,File,EBCDIC,AWS.M2.CARDDEMO.DISCGRP.PS,ps,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.DISCGRP.PS,2550
112,File,EBCDIC,AWS.M2.CARDDEMO.TRANCATG.PS,ps,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.TRANCATG.PS,1080
113,File,EBCDIC,AWS.M2.CARDDEMO.ACCTDATA.PS,ps,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.ACCTDATA.PS,15000
114,File,EBCDIC,AWS.M2.CARDDEMO.TCATBALF.PS,ps,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.TCATBALF.PS,2500
115,File,EBCDIC,AWS.M2.CARDDEMO.CUSTDATA.PS,ps,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.CUSTDATA.PS,25000
116,File,EBCDIC,.gitkeep,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/.gitkeep,0
117,File,EBCDIC,AWS.M2.CARDDEMO.DALYTRAN.PS.INIT,init,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.DALYTRAN.PS.INIT,350
118,File,EBCDIC,AWS.M2.CARDDEMO.USRSEC.PS,ps,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.USRSEC.PS,800
119,File,EBCDIC,AWS.M2.CARDDEMO.ACCDATA.PS,ps,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.ACCDATA.PS,15000
120,File,EBCDIC,AWS.M2.CARDDEMO.DALYTRAN.PS,ps,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.DALYTRAN.PS,105000
121,File,EBCDIC,AWS.M2.CARDDEMO.CARDXREF.PS,ps,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.CARDXREF.PS,2500
122,File,EBCDIC,AWS.M2.CARDDEMO.CARDDATA.PS,ps,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.CARDDATA.PS,7500
123,File,EBCDIC,AWS.M2.CARDDEMO.TRANTYPE.PS,ps,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/EBCDIC/AWS.M2.CARDDEMO.TRANTYPE.PS,420
124,File,ASCII,dailytran.txt,txt,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/ASCII/dailytran.txt,105300
125,File,ASCII,acctdata.txt,txt,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/ASCII/acctdata.txt,15050
126,File,ASCII,discgrp.txt,txt,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/ASCII/discgrp.txt,2601
127,File,ASCII,trantype.txt,txt,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/ASCII/trantype.txt,427
128,File,ASCII,carddata.txt,txt,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/ASCII/carddata.txt,7550
129,File,ASCII,custdata.txt,txt,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/ASCII/custdata.txt,25050
130,File,ASCII,cardxref.txt,txt,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/ASCII/cardxref.txt,1850
131,File,ASCII,tcatbal.txt,txt,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/ASCII/tcatbal.txt,2550
132,File,ASCII,trancatg.txt,txt,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/data/ASCII/trancatg.txt,1098
133,File,cpy-bms,COACTVW.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COACTVW.CPY,18399
134,File,cpy-bms,COACTUP.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COACTUP.CPY,26048
135,File,cpy-bms,COMEN01.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COMEN01.CPY,10506
136,File,cpy-bms,COCRDLI.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COCRDLI.CPY,22016
137,File,cpy-bms,CORPT00.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/CORPT00.CPY,9012
138,File,cpy-bms,COSGN00.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COSGN00.CPY,6302
139,File,cpy-bms,COADM01.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COADM01.CPY,10506
140,File,cpy-bms,COTRN01.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COTRN01.CPY,10784
141,File,cpy-bms,COCRDUP.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COCRDUP.CPY,9074
142,File,cpy-bms,.gitkeep,,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/.gitkeep,0
143,File,cpy-bms,COUSR03.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COUSR03.CPY,6316
144,File,cpy-bms,COCRDSL.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COCRDSL.CPY,8172
145,File,cpy-bms,COBIL00.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COBIL00.CPY,5886
146,File,cpy-bms,COTRN00.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COTRN00.CPY,28494
147,File,cpy-bms,COUSR02.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COUSR02.CPY,6766
148,File,cpy-bms,COUSR00.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COUSR00.CPY,28472
149,File,cpy-bms,COUSR01.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COUSR01.CPY,6756
150,File,cpy-bms,COTRN02.CPY,cpy,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/cpy-bms/COTRN02.CPY,10802
151,File,bms,COUSR03.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COUSR03.bms,9630
152,File,bms,COSGN00.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COSGN00.bms,13622
153,File,bms,COADM01.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COADM01.bms,10501
154,File,bms,COCRDUP.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COCRDUP.bms,10656
155,File,bms,COTRN02.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COTRN02.bms,19333
156,File,bms,COCRDLI.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COCRDLI.bms,21476
157,File,bms,CORPT00.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/CORPT00.bms,14631
158,File,bms,COACTUP.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COACTUP.bms,31388
159,File,bms,COACTVW.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COACTVW.bms,22872
160,File,bms,COTRN00.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COTRN00.bms,29377
161,File,bms,COUSR00.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COUSR00.bms,29351
162,File,bms,COCRDSL.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COCRDSL.bms,9688
163,File,bms,COUSR01.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COUSR01.bms,10338
164,File,bms,COUSR02.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COUSR02.bms,10635
165,File,bms,COTRN01.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COTRN01.bms,17059
166,File,bms,COBIL00.bms,bms,/home1/hugo/PycharmProjects/okrocket/cobol/code/aws-mainframe-modernization-carddemo/app/bms/COBIL00.bms,8776
